"Table 5. Real Per Capita Personal Income by Metropolitan Area, 2017-2018",,,,,,
," Per capita personal income
[Dollars] ",,, Real per capita personal income                                                 [Chained (2012) dollars] ,,
,,,,,,
,2017,2018,Percent change,2017,2018,Percent change
<<<<<<< HEAD,,,,,,
United States,"51,885","54,446",4.9,"48,980","50,346",2.8
United States nonmetropolitan portion,"39,690","41,552",4.7,"42,997","44,417",3.3
Metropolitan Statistical Areas,,,,,,
"Abilene, TX","40,862","43,140",5.6,"42,897","43,979",2.5
"Akron, OH","47,343","49,423",4.4,"49,779","51,138",2.7
"Albany, GA","36,522","37,500",2.7,"41,835","42,158",0.8
"Albany-Lebanon, OR","40,865","42,891",5,"40,495","41,374",2.2
"Albany-Schenectady-Troy, NY","56,264","58,104",3.3,"53,420","54,205",1.5
"Albuquerque, NM","40,715","42,536",4.5,"40,915","42,090",2.9
"Alexandria, LA","42,200","43,995",4.3,"46,026","47,550",3.3
"Allentown-Bethlehem-Easton, PA-NJ","51,236","54,120",5.6,"48,770","50,560",3.7
"Altoona, PA","44,160","46,743",5.8,"46,514","48,144",3.5
"Amarillo, TX","44,111","46,131",4.6,"45,262","46,648",3.1
"Ames, IA","41,321","43,519",5.3,"42,902","44,324",3.3
"Anchorage, AK","58,093","60,953",4.9,"51,123","53,053",3.8
"Ann Arbor, MI","56,729","59,363",4.6,"53,435","54,673",2.3
"Anniston-Oxford, AL","35,721","37,120",3.9,"40,472","41,630",2.9
"Appleton, WI","49,292","51,134",3.7,"51,963","53,106",2.2
"Asheville, NC","43,265","45,433",5,"44,270","45,325",2.4
"Athens-Clarke County, GA","38,884","40,690",4.6,"40,469","41,564",2.7
"Atlanta-Sandy Springs-Alpharetta, GA","50,269","52,473",4.4,"49,207","50,265",2.2
"Atlantic City-Hammonton, NJ","46,549","48,668",4.6,"43,958","45,248",2.9
"Auburn-Opelika, AL","36,437","38,036",4.4,"41,272","41,538",0.6
"Augusta-Richmond County, GA-SC","40,502","42,053",3.8,"43,376","44,093",1.7
"Austin-Round Rock-Georgetown, TX","55,530","58,773",5.8,"52,831","54,680",3.5
"Bakersfield, CA","38,467","39,703",3.2,"37,850","38,378",1.4
"Baltimore-Columbia-Towson, MD","59,570","62,402",4.8,"52,891","54,502",3
"Bangor, ME","39,976","42,053",5.2,"39,225","40,624",3.6
"Barnstable Town, MA","70,777","74,756",5.6,"63,899","66,129",3.5
"Baton Rouge, LA","45,865","48,042",4.7,"47,419","48,815",2.9
"Battle Creek, MI","38,608","40,276",4.3,"41,408","42,810",3.4
"Bay City, MI","40,192","41,722",3.8,"44,582","45,456",2
"Beaumont-Port Arthur, TX","42,728","44,527",4.2,"45,535","47,050",3.3
"Beckley, WV","36,477","38,717",6.1,"45,737","47,088",3
"Bellingham, WA","46,719","48,792",4.4,"44,694","45,368",1.5
"Bend, OR","53,033","55,143",4,"49,614","50,584",2
"Billings, MT","49,558","52,019",5,"49,060","51,085",4.1
"Binghamton, NY","43,201","44,817",3.7,"42,823","43,632",1.9
"Birmingham-Hoover, AL","48,618","50,979",4.9,"52,288","53,594",2.5
"Bismarck, ND","54,507","56,564",3.8,"55,362","56,819",2.6
"Blacksburg-Christiansburg, VA","36,723","38,538",4.9,"39,410","40,334",2.3
"Bloomington, IL","47,247","49,180",4.1,"48,468","49,787",2.7
"Bloomington, IN","40,079","41,947",4.7,"41,331","42,648",3.2
"Bloomsburg-Berwick, PA","43,692","45,527",4.2,"44,412","45,840",3.2
"Boise City, ID","44,062","45,973",4.3,"45,030","45,819",1.8
"Boston-Cambridge-Newton, MA-NH","74,779","78,694",5.2,"62,721","64,224",2.4
"Boulder, CO","69,298","73,394",5.9,"61,284","63,893",4.3
"Bowling Green, KY","35,863","36,740",2.4,"40,192","40,508",0.8
"Bremerton-Silverdale-Port Orchard, WA","52,833","56,244",6.5,"46,858","48,617",3.8
"Bridgeport-Stamford-Norwalk, CT","112,769","120,630",7,"92,384","97,556",5.6
"Brownsville-Harlingen, TX","27,427","28,756",4.8,"31,400","32,301",2.9
"Brunswick, GA","39,058","41,092",5.2,"42,766","43,547",1.8
"Buffalo-Cheektowaga, NY","48,879","50,414",3.1,"49,140","49,571",0.9
"Burlington, NC","38,141","39,342",3.1,"40,568","40,947",0.9
"Burlington-South Burlington, VT","55,445","57,575",3.8,"49,837","50,753",1.8
"California-Lexington Park, MD","54,446","56,820",4.4,"52,111","53,980",3.6
"Canton-Massillon, OH","42,937","44,767",4.3,"46,877","48,304",3
"Cape Coral-Fort Myers, FL","48,872","51,266",4.9,"47,951","48,853",1.9
"Cape Girardeau, MO-IL","41,882","43,850",4.7,"48,012","48,720",1.5
"Carbondale-Marion, IL","38,782","40,701",4.9,"44,307","45,514",2.7
"Carson City, NV","48,065","50,754",5.6,"47,762","48,967",2.5
"Casper, WY","62,751","69,379",10.6,"62,706","68,202",8.8
"Cedar Rapids, IA","49,721","52,168",4.9,"53,143","54,960",3.4
"Chambersburg-Waynesboro, PA","44,239","46,403",4.9,"44,567","45,718",2.6
"Champaign-Urbana, IL","43,644","45,975",5.3,"44,508","46,468",4.4
"Charleston, WV","41,322","44,053",6.6,"45,491","47,533",4.5
"Charleston-North Charleston, SC","48,769","50,958",4.5,"48,140","49,047",1.9
"Charlotte-Concord-Gastonia, NC-SC","50,043","52,176",4.3,"50,688","51,625",1.8
"Charlottesville, VA","63,300","66,577",5.2,"60,765","62,630",3.1
"Chattanooga, TN-GA","44,198","45,900",3.9,"47,475","48,178",1.5
"Cheyenne, WY","49,746","52,039",4.6,"49,426","51,384",4
"Chicago-Naperville-Elgin, IL-IN-WI","58,014","61,089",5.3,"53,385","55,154",3.3
"Chico, CA","42,653","44,346",4,"40,839","41,464",1.5
"Cincinnati, OH-KY-IN","51,729","54,176",4.7,"54,572","56,095",2.8
"Clarksville, TN-KY","39,426","39,991",1.4,"42,076","41,859",-0.5
"Cleveland, TN","37,063","38,371",3.5,"42,525","42,151",-0.9
"Cleveland-Elyria, OH","51,409","53,738",4.5,"54,155","55,623",2.7
"Coeur d'Alene, ID","43,129","44,987",4.3,"43,612","44,345",1.7
"College Station-Bryan, TX","37,569","39,533",5.2,"38,514","39,635",2.9
"Colorado Springs, CO","46,708","48,492",3.8,"45,124","45,568",1
"Columbia, MO","44,916","46,510",3.5,"47,698","48,538",1.8
"Columbia, SC","43,750","44,906",2.6,"45,273","45,596",0.7
"Columbus, GA-AL","39,407","41,067",4.2,"42,040","43,041",2.4
"Columbus, IN","47,987","49,922",4,"51,469","52,344",1.7
"Columbus, OH","49,338","51,165",3.7,"50,964","51,871",1.8
"Corpus Christi, TX","42,389","44,311",4.5,"43,165","44,299",2.6
"Corvallis, OR","44,519","47,019",5.6,"41,482","42,901",3.4
"Crestview-Fort Walton Beach-Destin, FL","49,800","51,655",3.7,"50,051","51,038",2
"Cumberland, MD-WV","38,342","40,049",4.5,"42,058","43,363",3.1
"Dallas-Fort Worth-Arlington, TX","53,391","55,886",4.7,"50,681","51,755",2.1
"Dalton, GA","34,984","36,316",3.8,"39,661","40,158",1.3
"Danville, IL","37,461","39,481",5.4,"44,854","46,834",4.4
"Daphne-Fairhope-Foley, AL","43,989","45,596",3.7,"46,433","47,069",1.4
"Davenport-Moline-Rock Island, IA-IL","47,295","49,172",4,"50,629","51,668",2.1
"Dayton-Kettering, OH","45,751","47,687",4.2,"49,005","50,339",2.7
"Decatur, AL","37,050","38,719",4.5,"42,760","43,243",1.1
"Decatur, IL","45,425","48,214",6.1,"50,784","52,706",3.8
"Deltona-Daytona Beach-Ormond Beach, FL","41,165","43,028",4.5,"41,019","41,810",1.9
"Denver-Aurora-Lakewood, CO","60,604","64,287",6.1,"54,743","57,109",4.3
"Des Moines-West Des Moines, IA","51,782","54,098",4.5,"52,985","54,437",2.7
"Detroit-Warren-Dearborn, MI","50,759","53,086",4.6,"50,553","51,829",2.5
"Dothan, AL","39,194","40,883",4.3,"44,694","45,419",1.6
"Dover, DE","40,438","42,023",3.9,"41,168","42,463",3.1
"Dubuque, IA","46,242","49,085",6.1,"48,759","51,064",4.7
"Duluth, MN-WI","43,835","46,250",5.5,"46,713","48,018",2.8
"Durham-Chapel Hill, NC","51,158","54,036",5.6,"51,394","53,100",3.3
"East Stroudsburg, PA","40,393","42,722",5.8,"39,735","40,993",3.2
"Eau Claire, WI","45,188","47,450",5,"47,825","49,468",3.4
"El Centro, CA","36,537","36,974",1.2,"38,382","38,366",0
"Elizabethtown-Fort Knox, KY","40,922","42,144",3,"45,866","45,800",-0.1
"Elkhart-Goshen, IN","45,451","46,816",3,"48,460","49,148",1.4
"Elmira, NY","42,745","44,373",3.8,"42,655","43,325",1.6
"El Paso, TX","34,228","35,836",4.7,"36,725","37,693",2.6
"Enid, OK","42,493","44,465",4.6,"44,879","46,203",3
"Erie, PA","42,308","44,903",6.1,"43,531","45,366",4.2
"Eugene-Springfield, OR","43,960","45,919",4.5,"42,491","43,461",2.3
"Evansville, IN-KY","45,436","47,313",4.1,"48,758","50,049",2.6
"Fairbanks, AK","53,974","56,606",4.9,"47,570","49,496",4
"Fargo, ND-MN","50,639","52,712",4.1,"52,713","53,750",2
"Farmington, NM","33,613","35,453",5.5,"35,336","36,283",2.7
"Fayetteville, NC","35,245","36,903",4.7,"37,848","38,765",2.4
"Fayetteville-Springdale-Rogers, AR","62,633","65,306",4.3,"66,761","68,546",2.7
"Flagstaff, AZ","46,662","48,129",3.1,"45,076","45,545",1
"Flint, MI","39,380","41,068",4.3,"41,736","42,657",2.2
"Florence, SC","38,644","40,413",4.6,"42,501","43,339",2
"Florence-Muscle Shoals, AL","36,129","37,608",4.1,"41,325","42,616",3.1
"Fond du Lac, WI","46,203","48,126",4.2,"50,543","51,511",1.9
"Fort Collins, CO","51,497","54,188",5.2,"48,417","49,504",2.2
"Fort Smith, AR-OK","36,452","37,800",3.7,"41,178","42,184",2.4
"Fort Wayne, IN","44,050","46,141",4.7,"47,043","48,457",3
"Fresno, CA","41,137","43,084",4.7,"40,610","41,635",2.5
"Gadsden, AL","35,542","36,918",3.9,"41,346","41,801",1.1
"Gainesville, FL","40,958","42,663",4.2,"41,616","42,202",1.4
"Gainesville, GA","41,856","43,701",4.4,"44,630","45,094",1
"Gettysburg, PA","47,020","49,173",4.6,"46,644","47,681",2.2
"Glens Falls, NY","45,033","46,411",3.1,"44,215","44,576",0.8
"Goldsboro, NC","37,309","38,472",3.1,"40,820","41,194",0.9
"Grand Forks, ND-MN","48,339","50,670",4.8,"50,620","51,935",2.6
"Grand Island, NE","42,186","43,817",3.9,"47,557","48,453",1.9
"Grand Junction, CO","42,239","44,935",6.4,"42,954","44,905",4.5
"Grand Rapids-Kentwood, MI","47,989","50,463",5.2,"49,354","51,015",3.4
"Grants Pass, OR","39,166","40,977",4.6,"39,709","41,013",3.3
"Great Falls, MT","45,291","47,518",4.9,"46,792","47,927",2.4
"Greeley, CO","44,173","46,172",4.5,"42,844","44,087",2.9
"Green Bay, WI","49,262","51,553",4.7,"52,037","53,488",2.8
"Greensboro-High Point, NC","41,701","43,189",3.6,"44,107","44,813",1.6
"Greenville, NC","39,873","41,191",3.3,"43,205","44,084",2
"Greenville-Anderson, SC","42,650","44,213",3.7,"45,037","45,594",1.2
"Gulfport-Biloxi, MS","35,672","36,878",3.4,"38,635","39,201",1.5
"Hagerstown-Martinsburg, MD-WV","42,144","43,897",4.2,"40,813","41,771",2.3
"Hammond, LA","37,474","38,974",4,"41,474","42,366",2.2
"Hanford-Corcoran, CA","34,323","35,306",2.9,"34,251","34,541",0.8
"Harrisburg-Carlisle, PA","49,987","52,354",4.7,"49,220","50,494",2.6
"Harrisonburg, VA","38,469","39,721",3.3,"40,983","40,982",0
"Hartford-East Hartford-Middletown, CT","61,464","64,337",4.7,"57,100","58,731",2.9
"Hattiesburg, MS","37,066","38,648",4.3,"42,886","42,865",0
"Hickory-Lenoir-Morganton, NC","38,119","39,849",4.5,"41,636","42,424",1.9
"Hilton Head Island-Bluffton, SC","50,351","53,056",5.4,"50,188","52,051",3.7
"Hinesville, GA","32,322","33,744",4.4,"34,251","34,452",0.6
"Homosassa Springs, FL","36,614","37,920",3.6,"39,777","39,966",0.5
"Hot Springs, AR","38,629","40,004",3.6,"42,779","43,613",1.9
"Houma-Thibodaux, LA","41,605","44,127",6.1,"44,116","46,112",4.5
"Houston-The Woodlands-Sugar Land, TX","53,479","56,077",4.9,"50,004","51,336",2.7
"Huntington-Ashland, WV-KY-OH","37,901","40,299",6.3,"41,948","43,810",4.4
"Huntsville, AL","47,442","49,595",4.5,"50,598","51,839",2.5
"Idaho Falls, ID","43,646","45,477",4.2,"45,417","46,455",2.3
"Indianapolis-Carmel-Anderson, IN","52,221","54,179",3.7,"54,166","55,127",1.8
"Iowa City, IA","50,819","53,280",4.8,"51,353","53,026",3.3
"Ithaca, NY","43,466","45,282",4.2,"38,824","39,862",2.7
"Jackson, MI","38,031","39,832",4.7,"40,912","42,196",3.1
"Jackson, MS","42,035","43,772",4.1,"44,953","45,727",1.7
"Jackson, TN","38,565","40,226",4.3,"45,346","46,282",2.1
"Jacksonville, FL","47,830","49,754",4,"47,598","48,572",2
"Jacksonville, NC","44,836","46,142",2.9,"46,026","46,676",1.4
"Janesville-Beloit, WI","42,189","44,204",4.8,"44,613","45,823",2.7
"Jefferson City, MO","42,259","43,802",3.7,"49,100","49,987",1.8
"Johnson City, TN","38,673","40,360",4.4,"42,421","43,764",3.2
"Johnstown, PA","40,721","43,420",6.6,"44,762","46,876",4.7
"Jonesboro, AR","35,330","36,588",3.6,"40,921","40,951",0.1
"Joplin, MO","38,856","39,765",2.3,"42,720","43,535",1.9
"Kahului-Wailuku-Lahaina, HI","47,322","49,040",3.6,"40,817","41,739",2.3
"Kalamazoo-Portage, MI","46,675","48,723",4.4,"48,995","50,247",2.6
"Kankakee, IL","39,602","41,290",4.3,"40,053","41,164",2.8
"Kansas City, MO-KS","51,717","53,788",4,"52,917","53,984",2
"Kennewick-Richland, WA","43,064","44,256",2.8,"42,146","42,387",0.6
"Killeen-Temple, TX","40,717","41,634",2.3,"42,772","43,053",0.7
"Kingsport-Bristol, TN-VA","38,369","40,042",4.4,"43,018","43,965",2.2
"Kingston, NY","48,508","50,462",4,"44,632","45,538",2
"Knoxville, TN","43,770","45,739",4.5,"47,197","48,074",1.9
"Kokomo, IN","39,916","41,842",4.8,"44,012","45,420",3.2
"La Crosse-Onalaska, WI-MN","48,094","50,412",4.8,"49,950","51,409",2.9
"Lafayette, LA","41,832","44,273",5.8,"45,763","47,673",4.2
"Lafayette-West Lafayette, IN","37,534","39,969",6.5,"39,366","41,455",5.3
"Lake Charles, LA","46,206","49,011",6.1,"49,360","51,402",4.1
"Lake Havasu City-Kingman, AZ","31,742","33,148",4.4,"33,471","34,318",2.5
"Lakeland-Winter Haven, FL","34,591","35,463",2.5,"35,315","35,453",0.4
"Lancaster, PA","49,961","52,664",5.4,"47,784","49,612",3.8
"Lansing-East Lansing, MI","39,981","41,812",4.6,"41,603","42,733",2.7
"Laredo, TX","30,153","31,635",4.9,"32,554","33,759",3.7
"Las Cruces, NM","35,144","36,570",4.1,"37,718","39,062",3.6
"Las Vegas-Henderson-Paradise, NV","45,087","47,090",4.4,"44,483","45,342",1.9
"Lawrence, KS","41,899","43,642",4.2,"43,697","44,244",1.3
"Lawton, OK","39,614","41,509",4.8,"42,282","43,627",3.2
"Lebanon, PA","46,194","48,352",4.7,"46,048","46,928",1.9
"Lewiston, ID-WA","43,771","45,368",3.6,"45,868","46,745",1.9
"Lewiston-Auburn, ME","39,600","41,528",4.9,"39,367","40,537",3
"Lexington-Fayette, KY","46,387","47,875",3.2,"48,840","49,265",0.9
"Lima, OH","40,712","42,816",5.2,"45,329","47,404",4.6
"Lincoln, NE","47,575","49,886",4.9,"49,600","51,035",2.9
"Little Rock-North Little Rock-Conway, AR","43,901","45,512",3.7,"46,344","47,562",2.6
"Logan, UT-ID","37,269","38,690",3.8,"38,766","39,497",1.9
"Longview, TX","39,526","41,630",5.3,"41,521","43,219",4.1
"Longview, WA","43,046","44,990",4.5,"43,044","44,243",2.8
"Los Angeles-Long Beach-Anaheim, CA","60,649","63,913",5.4,"49,389","50,866",3
"Louisville/Jefferson County, KY-IN","48,163","50,101",4,"50,829","51,788",1.9
"Lubbock, TX","40,416","42,181",4.4,"41,457","42,688",3
"Lynchburg, VA","38,720","40,374",4.3,"41,016","42,137",2.7
"Macon-Bibb County, GA","39,399","41,066",4.2,"43,197","43,870",1.6
"Madera, CA","38,062","39,897",4.8,"38,137","39,539",3.7
"Madison, WI","56,695","59,371",4.7,"55,841","57,312",2.6
"Manchester-Nashua, NH","58,305","61,147",4.9,"51,046","52,802",3.4
"Manhattan, KS","44,212","46,008",4.1,"45,788","47,234",3.2
"Mankato, MN","44,871","46,141",2.8,"46,992","47,233",0.5
"Mansfield, OH","37,865","39,234",3.6,"41,942","43,133",2.8
"McAllen-Edinburg-Mission, TX","25,451","26,410",3.8,"29,002","29,769",2.6
"Medford, OR","44,533","46,603",4.6,"43,503","44,628",2.6
"Memphis, TN-MS-AR","44,655","46,620",4.4,"47,020","48,165",2.4
"Merced, CA","38,037","38,519",1.3,"38,284","37,785",-1.3
"Miami-Fort Lauderdale-Pompano Beach, FL","54,409","57,228",5.2,"47,256","48,550",2.7
"Michigan City-La Porte, IN","40,561","42,527",4.8,"45,758","46,748",2.2
"Midland, MI","58,229","60,467",3.8,"61,037","62,195",1.9
"Midland, TX","108,595","122,247",12.6,"103,592","114,759",10.8
"Milwaukee-Waukesha, WI","54,216","57,005",5.1,"54,113","56,024",3.5
"Minneapolis-St. Paul-Bloomington, MN-WI","60,167","62,889",4.5,"55,719","57,123",2.5
"Missoula, MT","47,086","49,492",5.1,"47,015","48,568",3.3
"Mobile, AL","36,705","38,170",4,"40,514","41,403",2.2
"Modesto, CA","42,354","44,120",4.2,"40,797","41,354",1.4
"Monroe, LA","38,726","40,482",4.5,"44,017","44,798",1.8
"Monroe, MI","45,498","47,496",4.4,"46,923","48,305",2.9
"Montgomery, AL","41,592","42,943",3.2,"44,809","45,378",1.3
"Morgantown, WV","40,728","42,509",4.4,"42,420","44,064",3.9
"Morristown, TN","34,280","35,829",4.5,"40,365","40,718",0.9
"Mount Vernon-Anacortes, WA","50,119","53,060",5.9,"47,638","49,250",3.4
"Muncie, IN","35,713","37,201",4.2,"39,574","40,239",1.7
"Muskegon, MI","37,207","39,072",5,"40,718","41,851",2.8
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","37,565","38,700",3,"38,734","39,253",1.3
"Napa, CA","69,791","74,984",7.4,"54,110","57,274",5.8
"Naples-Marco Island, FL","87,092","92,686",6.4,"81,294","84,963",4.5
"Nashville-Davidson--Murfreesboro--Franklin, TN","55,382","57,953",4.6,"55,777","56,933",2.1
"New Bern, NC","41,547","43,257",4.1,"46,847","47,957",2.4
"New Haven-Milford, CT","53,605","56,650",5.7,"46,836","48,772",4.1
"New Orleans-Metairie, LA","49,799","52,431",5.3,"50,069","51,954",3.8
"New York-Newark-Jersey City, NY-NJ-PA","72,951","76,681",5.1,"56,157","57,604",2.6
"Niles, MI","45,651","47,430",3.9,"49,300","50,729",2.9
"North Port-Sarasota-Bradenton, FL","53,730","56,462",5.1,"51,037","52,356",2.6
"Norwich-New London, CT","56,545","59,264",4.8,"52,500","53,999",2.9
"Ocala, FL","35,719","36,997",3.6,"37,462","37,849",1
"Ocean City, NJ","57,976","60,877",5,"53,465","54,999",2.9
