"Table 5. Real Per Capita Personal Income by Metropolitan Area, 2017-2018",,,,,,
"Fresno, CA","41,137","43,084",4.7,"40,610","41,635",2.5
"Gadsden, AL","35,542","36,918",3.9,"41,346","41,801",1.1
"Gainesville, FL","40,958","42,663",4.2,"41,616","42,202",1.4
"Gainesville, GA","41,856","43,701",4.4,"44,630","45,094",1
"Gettysburg, PA","47,020","49,173",4.6,"46,644","47,681",2.2
"Glens Falls, NY","45,033","46,411",3.1,"44,215","44,576",0.8
"Goldsboro, NC","37,309","38,472",3.1,"40,820","41,194",0.9
"Grand Forks, ND-MN","48,339","50,670",4.8,"50,620","51,935",2.6
"Grand Island, NE","42,186","43,817",3.9,"47,557","48,453",1.9
"Grand Junction, CO","42,239","44,935",6.4,"42,954","44,905",4.5
"Grand Rapids-Kentwood, MI","47,989","50,463",5.2,"49,354","51,015",3.4
"Grants Pass, OR","39,166","40,977",4.6,"39,709","41,013",3.3
"Great Falls, MT","45,291","47,518",4.9,"46,792","47,927",2.4
"Greeley, CO","44,173","46,172",4.5,"42,844","44,087",2.9
"Green Bay, WI","49,262","51,553",4.7,"52,037","53,488",2.8
"Greensboro-High Point, NC","41,701","43,189",3.6,"44,107","44,813",1.6
"Greenville, NC","39,873","41,191",3.3,"43,205","44,084",2
"Greenville-Anderson, SC","42,650","44,213",3.7,"45,037","45,594",1.2
"Gulfport-Biloxi, MS","35,672","36,878",3.4,"38,635","39,201",1.5
"Hagerstown-Martinsburg, MD-WV","42,144","43,897",4.2,"40,813","41,771",2.3
"Hammond, LA","37,474","38,974",4,"41,474","42,366",2.2
"Hanford-Corcoran, CA","34,323","35,306",2.9,"34,251","34,541",0.8
"Harrisburg-Carlisle, PA","49,987","52,354",4.7,"49,220","50,494",2.6
"Harrisonburg, VA","38,469","39,721",3.3,"40,983","40,982",0
"Hartford-East Hartford-Middletown, CT","61,464","64,337",4.7,"57,100","58,731",2.9
"Hattiesburg, MS","37,066","38,648",4.3,"42,886","42,865",0
"Hickory-Lenoir-Morganton, NC","38,119","39,849",4.5,"41,636","42,424",1.9
"Hilton Head Island-Bluffton, SC","50,351","53,056",5.4,"50,188","52,051",3.7
"Hinesville, GA","32,322","33,744",4.4,"34,251","34,452",0.6
"Homosassa Springs, FL","36,614","37,920",3.6,"39,777","39,966",0.5
"Hot Springs, AR","38,629","40,004",3.6,"42,779","43,613",1.9
"Houma-Thibodaux, LA","41,605","44,127",6.1,"44,116","46,112",4.5
"Houston-The Woodlands-Sugar Land, TX","53,479","56,077",4.9,"50,004","51,336",2.7
"Huntington-Ashland, WV-KY-OH","37,901","40,299",6.3,"41,948","43,810",4.4
"Huntsville, AL","47,442","49,595",4.5,"50,598","51,839",2.5
"Idaho Falls, ID","43,646","45,477",4.2,"45,417","46,455",2.3
"Indianapolis-Carmel-Anderson, IN","52,221","54,179",3.7,"54,166","55,127",1.8
"Iowa City, IA","50,819","53,280",4.8,"51,353","53,026",3.3
"Ithaca, NY","43,466","45,282",4.2,"38,824","39,862",2.7
"Jackson, MI","38,031","39,832",4.7,"40,912","42,196",3.1
"Jackson, MS","42,035","43,772",4.1,"44,953","45,727",1.7
"Jackson, TN","38,565","40,226",4.3,"45,346","46,282",2.1
"Jacksonville, FL","47,830","49,754",4,"47,598","48,572",2
"Jacksonville, NC","44,836","46,142",2.9,"46,026","46,676",1.4
"Janesville-Beloit, WI","42,189","44,204",4.8,"44,613","45,823",2.7
"Jefferson City, MO","42,259","43,802",3.7,"49,100","49,987",1.8
"Johnson City, TN","38,673","40,360",4.4,"42,421","43,764",3.2
"Johnstown, PA","40,721","43,420",6.6,"44,762","46,876",4.7
"Jonesboro, AR","35,330","36,588",3.6,"40,921","40,951",0.1
"Joplin, MO","38,856","39,765",2.3,"42,720","43,535",1.9
"Kahului-Wailuku-Lahaina, HI","47,322","49,040",3.6,"40,817","41,739",2.3
"Kalamazoo-Portage, MI","46,675","48,723",4.4,"48,995","50,247",2.6
"Kankakee, IL","39,602","41,290",4.3,"40,053","41,164",2.8
"Kansas City, MO-KS","51,717","53,788",4,"52,917","53,984",2
"Kennewick-Richland, WA","43,064","44,256",2.8,"42,146","42,387",0.6
"Killeen-Temple, TX","40,717","41,634",2.3,"42,772","43,053",0.7
"Kingsport-Bristol, TN-VA","38,369","40,042",4.4,"43,018","43,965",2.2
"Kingston, NY","48,508","50,462",4,"44,632","45,538",2
"Knoxville, TN","43,770","45,739",4.5,"47,197","48,074",1.9
"Kokomo, IN","39,916","41,842",4.8,"44,012","45,420",3.2
"La Crosse-Onalaska, WI-MN","48,094","50,412",4.8,"49,950","51,409",2.9
"Lafayette, LA","41,832","44,273",5.8,"45,763","47,673",4.2
"Lafayette-West Lafayette, IN","37,534","39,969",6.5,"39,366","41,455",5.3
"Lake Charles, LA","46,206","49,011",6.1,"49,360","51,402",4.1
"Lake Havasu City-Kingman, AZ","31,742","33,148",4.4,"33,471","34,318",2.5
"Lakeland-Winter Haven, FL","34,591","35,463",2.5,"35,315","35,453",0.4
"Lancaster, PA","49,961","52,664",5.4,"47,784","49,612",3.8
"Lansing-East Lansing, MI","39,981","41,812",4.6,"41,603","42,733",2.7
"Laredo, TX","30,153","31,635",4.9,"32,554","33,759",3.7
"Las Cruces, NM","35,144","36,570",4.1,"37,718","39,062",3.6
"Las Vegas-Henderson-Paradise, NV","45,087","47,090",4.4,"44,483","45,342",1.9
"Lawrence, KS","41,899","43,642",4.2,"43,697","44,244",1.3
"Lawton, OK","39,614","41,509",4.8,"42,282","43,627",3.2
"Lebanon, PA","46,194","48,352",4.7,"46,048","46,928",1.9
"Lewiston, ID-WA","43,771","45,368",3.6,"45,868","46,745",1.9
"Lewiston-Auburn, ME","39,600","41,528",4.9,"39,367","40,537",3
"Lexington-Fayette, KY","46,387","47,875",3.2,"48,840","49,265",0.9
"Lima, OH","40,712","42,816",5.2,"45,329","47,404",4.6
"Lincoln, NE","47,575","49,886",4.9,"49,600","51,035",2.9
"Little Rock-North Little Rock-Conway, AR","43,901","45,512",3.7,"46,344","47,562",2.6
"Logan, UT-ID","37,269","38,690",3.8,"38,766","39,497",1.9
"Longview, TX","39,526","41,630",5.3,"41,521","43,219",4.1
"Longview, WA","43,046","44,990",4.5,"43,044","44,243",2.8
"Los Angeles-Long Beach-Anaheim, CA","60,649","63,913",5.4,"49,389","50,866",3
"Louisville/Jefferson County, KY-IN","48,163","50,101",4,"50,829","51,788",1.9
"Lubbock, TX","40,416","42,181",4.4,"41,457","42,688",3
"Lynchburg, VA","38,720","40,374",4.3,"41,016","42,137",2.7
"Macon-Bibb County, GA","39,399","41,066",4.2,"43,197","43,870",1.6
"Madera, CA","38,062","39,897",4.8,"38,137","39,539",3.7
"Madison, WI","56,695","59,371",4.7,"55,841","57,312",2.6
"Manchester-Nashua, NH","58,305","61,147",4.9,"51,046","52,802",3.4
"Manhattan, KS","44,212","46,008",4.1,"45,788","47,234",3.2
"Mankato, MN","44,871","46,141",2.8,"46,992","47,233",0.5
"Mansfield, OH","37,865","39,234",3.6,"41,942","43,133",2.8
"McAllen-Edinburg-Mission, TX","25,451","26,410",3.8,"29,002","29,769",2.6
"Medford, OR","44,533","46,603",4.6,"43,503","44,628",2.6
"Memphis, TN-MS-AR","44,655","46,620",4.4,"47,020","48,165",2.4
"Merced, CA","38,037","38,519",1.3,"38,284","37,785",-1.3
"Miami-Fort Lauderdale-Pompano Beach, FL","54,409","57,228",5.2,"47,256","48,550",2.7
"Michigan City-La Porte, IN","40,561","42,527",4.8,"45,758","46,748",2.2
"Midland, MI","58,229","60,467",3.8,"61,037","62,195",1.9
"Midland, TX","108,595","122,247",12.6,"103,592","114,759",10.8
"Milwaukee-Waukesha, WI","54,216","57,005",5.1,"54,113","56,024",3.5
"Minneapolis-St. Paul-Bloomington, MN-WI","60,167","62,889",4.5,"55,719","57,123",2.5
"Missoula, MT","47,086","49,492",5.1,"47,015","48,568",3.3
"Mobile, AL","36,705","38,170",4,"40,514","41,403",2.2
"Modesto, CA","42,354","44,120",4.2,"40,797","41,354",1.4
"Monroe, LA","38,726","40,482",4.5,"44,017","44,798",1.8
"Monroe, MI","45,498","47,496",4.4,"46,923","48,305",2.9
"Montgomery, AL","41,592","42,943",3.2,"44,809","45,378",1.3
"Morgantown, WV","40,728","42,509",4.4,"42,420","44,064",3.9
"Morristown, TN","34,280","35,829",4.5,"40,365","40,718",0.9
"Mount Vernon-Anacortes, WA","50,119","53,060",5.9,"47,638","49,250",3.4
"Muncie, IN","35,713","37,201",4.2,"39,574","40,239",1.7
"Muskegon, MI","37,207","39,072",5,"40,718","41,851",2.8
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","37,565","38,700",3,"38,734","39,253",1.3
"Napa, CA","69,791","74,984",7.4,"54,110","57,274",5.8
"Naples-Marco Island, FL","87,092","92,686",6.4,"81,294","84,963",4.5
"Nashville-Davidson--Murfreesboro--Franklin, TN","55,382","57,953",4.6,"55,777","56,933",2.1
"New Bern, NC","41,547","43,257",4.1,"46,847","47,957",2.4
"New Haven-Milford, CT","53,605","56,650",5.7,"46,836","48,772",4.1
"New Orleans-Metairie, LA","49,799","52,431",5.3,"50,069","51,954",3.8
"New York-Newark-Jersey City, NY-NJ-PA","72,951","76,681",5.1,"56,157","57,604",2.6
"Niles, MI","45,651","47,430",3.9,"49,300","50,729",2.9
"North Port-Sarasota-Bradenton, FL","53,730","56,462",5.1,"51,037","52,356",2.6
"Norwich-New London, CT","56,545","59,264",4.8,"52,500","53,999",2.9
"Ocala, FL","35,719","36,997",3.6,"37,462","37,849",1
"Ocean City, NJ","57,976","60,877",5,"53,465","54,999",2.9
"Odessa, TX","42,548","47,271",11.1,"42,522","46,593",9.6
"Ogden-Clearfield, UT","41,795","43,988",5.2,"42,532","43,501",2.3
"Oklahoma City, OK","45,951","48,571",5.7,"48,071","49,904",3.8
"Olympia-Lacey-Tumwater, WA","48,820","51,684",5.9,"43,346","44,605",2.9
"Omaha-Council Bluffs, NE-IA","55,229","58,037",5.1,"56,926","58,736",3.2
"Orlando-Kissimmee-Sanford, FL","41,748","43,491",4.2,"40,303","41,059",1.9
"Oshkosh-Neenah, WI","46,131","48,101",4.3,"48,640","49,957",2.7
"Owensboro, KY","40,016","41,387",3.4,"43,559","43,968",0.9
"Oxnard-Thousand Oaks-Ventura, CA","58,761","61,712",5,"47,504","49,111",3.4
"Palm Bay-Melbourne-Titusville, FL","43,371","45,425",4.7,"42,938","43,962",2.4
"Panama City, FL","41,499","43,231",4.2,"41,689","42,528",2
"Parkersburg-Vienna, WV","39,010","41,988",7.6,"42,102","44,554",5.8
"Pensacola-Ferry Pass-Brent, FL","41,592","43,259",4,"42,761","43,623",2
"Peoria, IL","45,851","48,870",6.6,"49,180","51,750",5.2
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","61,094","64,440",5.5,"55,197","57,001",3.3
"Phoenix-Mesa-Chandler, AZ","44,208","46,125",4.3,"43,050","43,842",1.8
"Pine Bluff, AR","33,224","34,554",4,"38,424","39,546",2.9
"Pittsburgh, PA","54,471","58,072",6.6,"55,443","58,117",4.8
"Pittsfield, MA","54,135","56,503",4.4,"52,375","53,501",2.1
"Pocatello, ID","36,884","38,038",3.1,"39,772","40,496",1.8
"Portland-South Portland, ME","54,914","57,751",5.2,"50,764","52,144",2.7
"Portland-Vancouver-Hillsboro, OR-WA","54,014","56,991",5.5,"49,916","51,187",2.5
"Port St. Lucie, FL","51,824","54,228",4.6,"50,684","51,586",1.8
"Poughkeepsie-Newburgh-Middletown, NY","51,658","53,811",4.2,"41,983","42,822",2
"Prescott Valley-Prescott, AZ","38,381","40,312",5,"38,145","39,515",3.6
"Providence-Warwick, RI-MA","52,147","54,585",4.7,"49,461","50,949",3
"Provo-Orem, UT","38,802","40,831",5.2,"38,515","39,507",2.6
"Pueblo, CO","37,540","39,511",5.3,"39,528","40,891",3.4
"Punta Gorda, FL","39,868","41,564",4.3,"39,616","40,196",1.5
"Racine, WI","47,419","49,749",4.9,"48,441","50,180",3.6
"Raleigh-Cary, NC","52,219","55,045",5.4,"51,514","53,095",3.1
"Rapid City, SD","47,885","49,681",3.8,"50,551","51,952",2.8
"Reading, PA","47,412","49,945",5.3,"46,872","48,349",3.2
"Redding, CA","44,480","46,582",4.7,"43,581","44,744",2.7
"Reno, NV","56,120","59,639",6.3,"54,673","56,544",3.4
"Richmond, VA","55,282","57,301",3.7,"54,578","55,553",1.8
"Riverside-San Bernardino-Ontario, CA","38,821","40,486",4.3,"34,614","35,256",1.9
"Roanoke, VA","45,076","46,963",4.2,"47,463","48,352",1.9
"Rochester, MN","51,971","55,323",6.4,"53,026","55,252",4.2
"Rochester, NY","49,625","51,167",3.1,"48,244","48,841",1.2
"Rockford, IL","42,121","44,328",5.2,"45,392","47,176",3.9
"Rocky Mount, NC","37,764","39,498",4.6,"42,300","43,502",2.8
"Rome, GA","37,003","38,524",4.1,"43,079","43,370",0.7
"Sacramento-Roseville-Folsom, CA","54,010","56,278",4.2,"50,003","50,616",1.2
"Saginaw, MI","37,286","38,754",3.9,"40,547","41,498",2.3
"St. Cloud, MN","44,679","46,513",4.1,"46,837","47,681",1.8
"St. George, UT","36,809","38,847",5.5,"36,987","38,262",3.4
"St. Joseph, MO-KS","37,934","39,253",3.5,"41,935","42,895",2.3
"St. Louis, MO-IL","52,944","55,883",5.6,"55,097","57,243",3.9
"Salem, OR","40,811","42,714",4.7,"39,927","40,686",1.9
"Salinas, CA","53,989","56,193",4.1,"47,052","47,745",1.5
"Salisbury, MD-DE","46,722","48,296",3.4,"49,844","50,655",1.6
"Salt Lake City, UT","49,048","51,736",5.5,"47,603","48,860",2.6
"San Angelo, TX","43,896","46,406",5.7,"45,041","47,024",4.4
"San Antonio-New Braunfels, TX","44,874","46,995",4.7,"45,467","46,645",2.6
"San Diego-Chula Vista-Carlsbad, CA","58,097","61,386",5.7,"47,354","49,143",3.8
"San Francisco-Oakland-Berkeley, CA","92,638","99,424",7.3,"68,042","70,399",3.5
"San Jose-Sunnyvale-Santa Clara, CA","98,690","106,213",7.6,"72,131","76,500",6.1
"San Luis Obispo-Paso Robles, CA","55,635","58,491",5.1,"48,900","50,164",2.6
"Santa Cruz-Watsonville, CA","64,901","69,355",6.9,"48,758","51,502",5.6
"Santa Fe, NM","55,273","58,510",5.9,"53,892","55,746",3.4
"Santa Maria-Santa Barbara, CA","59,633","62,690",5.1,"51,373","52,542",2.3
"Santa Rosa-Petaluma, CA","60,170","64,501",7.2,"46,661","49,093",5.2
"Savannah, GA","44,755","47,144",5.3,"45,228","46,555",2.9
"Scranton--Wilkes-Barre, PA","43,905","46,175",5.2,"45,232","46,779",3.4
"Seattle-Tacoma-Bellevue, WA","69,913","74,620",6.7,"59,376","61,585",3.7
"Sebastian-Vero Beach, FL","72,149","76,059",5.4,"74,296","76,478",2.9
"Sebring-Avon Park, FL","32,922","33,453",1.6,"37,311","36,408",-2.4
"Sheboygan, WI","50,722","52,851",4.2,"53,875","55,500",3
"Sherman-Denison, TX","40,662","42,195",3.8,"42,394","43,091",1.6
"Shreveport-Bossier City, LA","43,808","46,509",6.2,"47,086","49,163",4.4
"Sierra Vista-Douglas, AZ","39,165","40,308",2.9,"42,073","42,327",0.6
"Sioux City, IA-NE-SD","48,058","50,586",5.3,"51,748","53,222",2.8
"Sioux Falls, SD","57,299","59,520",3.9,"59,675","60,748",1.8
"South Bend-Mishawaka, IN-MI","45,624","47,244",3.6,"49,413","50,038",1.3
"Spartanburg, SC","41,783","43,148",3.3,"44,211","44,929",1.6
"Spokane-Spokane Valley, WA","44,006","45,903",4.3,"43,806","44,670",2
"Springfield, IL","46,056","48,793",5.9,"48,898","50,552",3.4
"Springfield, MA","50,057","51,953",3.8,"48,471","49,755",2.6
"Springfield, MO","40,306","41,780",3.7,"44,128","45,108",2.2
"Springfield, OH","39,235","40,769",3.9,"43,210","44,388",2.7
"State College, PA","44,527","46,193",3.7,"41,393","42,454",2.6
"Staunton, VA","42,622","44,316",4,"47,572","48,019",0.9
"Stockton, CA","42,391","44,995",6.1,"40,277","41,647",3.4
"Sumter, SC","35,768","37,304",4.3,"39,163","40,753",4.1
"Syracuse, NY","48,009","49,736",3.6,"47,170","48,040",1.8
"Tallahassee, FL","40,605","42,601",4.9,"41,290","42,524",3
"Tampa-St. Petersburg-Clearwater, FL","45,313","47,240",4.3,"43,809","44,484",1.5
"Terre Haute, IN","36,789","38,299",4.1,"40,373","41,390",2.5
"Texarkana, TX-AR","36,485","37,607",3.1,"39,937","40,694",1.9
"The Villages, FL","44,097","46,100",4.5,"44,879","45,678",1.8
"Toledo, OH","44,668","46,868",4.9,"48,667","50,339",3.4
"Topeka, KS","43,758","46,017",5.2,"46,986","48,464",3.1
"Trenton-Princeton, NJ","65,877","69,344",5.3,"57,357","59,494",3.7
"Tucson, AZ","42,133","44,028",4.5,"42,629","43,692",2.5
"Tulsa, OK","51,134","54,866",7.3,"54,085","57,091",5.6
"Tuscaloosa, AL","36,396","37,983",4.4,"39,684","40,632",2.4
"Twin Falls, ID","37,897","39,309",3.7,"39,715","40,797",2.7
"Tyler, TX","52,034","55,229",6.1,"52,996","55,560",4.8
"Urban Honolulu, HI","57,049","59,608",4.5,"43,641","44,755",2.6
"Utica-Rome, NY","42,790","44,036",2.9,"43,659","44,029",0.8
"Valdosta, GA","34,613","36,217",4.6,"40,132","40,516",1
"Vallejo, CA","48,364","51,664",6.8,"38,587","40,301",4.4
"Victoria, TX","43,469","45,968",5.7,"44,387","46,104",3.9
"Vineland-Bridgeton, NJ","38,630","40,289",4.3,"37,641","38,118",1.3
"Virginia Beach-Norfolk-Newport News, VA-NC","48,485","50,619",4.4,"47,306","48,629",2.8
"Visalia, CA","39,018","40,420",3.6,"39,229","40,004",2
"Waco, TX","39,182","40,831",4.2,"41,096","42,410",3.2
"Walla Walla, WA","44,178","46,144",4.5,"43,344","44,592",2.9
"Warner Robins, GA","40,517","41,944",3.5,"43,317","43,873",1.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV","69,298","72,483",4.6,"56,100","57,359",2.2
"Waterloo-Cedar Falls, IA","43,591","46,063",5.7,"46,067","47,919",4
"Watertown-Fort Drum, NY","45,476","46,924",3.2,"43,846","44,545",1.6
"Wausau-Weston, WI","47,260","49,373",4.5,"50,222","51,650",2.8
"Weirton-Steubenville, WV-OH","38,472","40,472",5.2,"43,455","44,854",3.2
"Wenatchee, WA","48,045","50,021",4.1,"46,686","47,085",0.9
"Wheeling, WV-OH","45,613","48,881",7.2,"50,751","53,578",5.6
"Wichita, KS","48,818","51,854",6.2,"52,118","54,536",4.6
"Wichita Falls, TX","41,395","43,527",5.2,"44,464","46,306",4.1
"Williamsport, PA","41,587","43,823",5.4,"42,723","44,306",3.7
"Wilmington, NC","41,953","43,311",3.2,"42,932","43,119",0.4
"Winchester, VA-WV","46,303","48,174",4,"47,486","48,340",1.8
"Winston-Salem, NC","43,306","44,850",3.6,"46,324","47,079",1.6
"Worcester, MA-CT","53,273","55,801",4.7,"48,797","50,366",3.2
"Yakima, WA","41,868","43,379",3.6,"42,642","43,250",1.4
"York-Hanover, PA","47,835","50,113",4.8,"47,235","48,422",2.5
"Youngstown-Warren-Boardman, OH-PA","40,496","42,443",4.8,"44,588","45,928",3
"Yuba City, CA","41,270","42,925",4,"40,387","41,489",2.7
"Yuma, AZ","35,049","35,682",1.8,"37,254","37,423",0.5
,,,,,,
Maximum ,"112,769","122,247",12.6,"103,592","114,759",10.8
Minimum,"25,451","26,410",1.2,"29,002","29,769",-2.4
Range,"87,318","95,837",11.4,"74,590","84,990",13.2
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,
Note: Per capita personal income uses Census Bureau midyear population estimates available as of March 2019.,,,,,,
