"Table 6. Regional Price Parities by Metropolitan Area, 2018",,,,
, Regional price parities ,,,
, All items , Goods , Services ,
,,,Rents, Other 
<<<<<<< HEAD
United States1,100,98.9,101.9,100
=======
United States1,100.0,98.9,101.9,100.0
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
United States nonmetropolitan portion,87.2,94.7,62.5,93.7
Metropolitan Statistical Areas,,,,
"Abilene, TX",91.4,96.8,81.6,92.6
"Akron, OH",90.1,95.9,76.7,91.9
"Albany, GA",82.9,96.8,52.9,94.6
"Albany-Lebanon, OR",96.6,101.5,89.8,95.8
"Albany-Schenectady-Troy, NY",99.9,98.7,102.4,99.9
"Albuquerque, NM",94.2,93.6,87.7,100.3
<<<<<<< HEAD
"Alexandria, LA",86.2,97,63.6,92.6
"Allentown-Bethlehem-Easton, PA-NJ",99.8,99,98.1,101.7
=======
"Alexandria, LA",86.2,97.0,63.6,92.6
"Allentown-Bethlehem-Easton, PA-NJ",99.8,99.0,98.1,101.7
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Altoona, PA",90.5,98.7,64.9,99.9
"Amarillo, TX",92.2,97.2,83.1,92.6
"Ames, IA",91.5,93.4,90.1,90.4
"Anchorage, AK",107.1,101.5,134.1,99.5
"Ann Arbor, MI",101.2,98.4,115.5,96.8
"Anniston-Oxford, AL",83.1,97.5,52.2,91.8
<<<<<<< HEAD
"Appleton, WI",89.8,96,74.1,91.5
"Asheville, NC",93.4,95.9,87.9,94.7
"Athens-Clarke County, GA",91.3,97.3,77.5,94.6
"Atlanta-Sandy Springs-Alpharetta, GA",97.3,98.7,95.9,96.8
"Atlantic City-Hammonton, NJ",100.3,100.9,93.4,104
"Auburn-Opelika, AL",85.4,92,70.4,91.6
"Augusta-Richmond County, GA-SC",88.9,97.1,69.5,94.6
"Austin-Round Rock-Georgetown, TX",100.2,97.4,120.6,92.6
"Bakersfield, CA",96.4,96.3,89.4,102
=======
"Appleton, WI",89.8,96.0,74.1,91.5
"Asheville, NC",93.4,95.9,87.9,94.7
"Athens-Clarke County, GA",91.3,97.3,77.5,94.6
"Atlanta-Sandy Springs-Alpharetta, GA",97.3,98.7,95.9,96.8
"Atlantic City-Hammonton, NJ",100.3,100.9,93.4,104.0
"Auburn-Opelika, AL",85.4,92.0,70.4,91.6
"Augusta-Richmond County, GA-SC",88.9,97.1,69.5,94.6
"Austin-Round Rock-Georgetown, TX",100.2,97.4,120.6,92.6
"Bakersfield, CA",96.4,96.3,89.4,102.0
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Baltimore-Columbia-Towson, MD",106.7,103.1,113.7,104.9
"Bangor, ME",96.5,98.7,85.5,102.6
"Barnstable Town, MA",105.4,98.7,122.4,102.6
"Baton Rouge, LA",91.7,96.3,83.4,92.6
<<<<<<< HEAD
"Battle Creek, MI",87.7,96,69.2,91.5
"Bay City, MI",85.6,96,60.6,91.5
"Beaumont-Port Arthur, TX",88.2,97.4,67.7,92.6
"Beckley, WV",76.6,92.1,45.8,94.5
"Bellingham, WA",100.3,96.3,105.2,102
=======
"Battle Creek, MI",87.7,96.0,69.2,91.5
"Bay City, MI",85.6,96.0,60.6,91.5
"Beaumont-Port Arthur, TX",88.2,97.4,67.7,92.6
"Beckley, WV",76.6,92.1,45.8,94.5
"Bellingham, WA",100.3,96.3,105.2,102.0
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Bend, OR",101.6,101.5,110.1,95.8
"Billings, MT",94.9,94.2,89.4,99.5
"Binghamton, NY",95.7,98.7,84.7,99.9
"Birmingham-Hoover, AL",88.7,97.3,69.1,91.8
"Bismarck, ND",92.8,95.3,88.2,92.3
"Blacksburg-Christiansburg, VA",89.1,92.1,79.1,94.6
<<<<<<< HEAD
"Bloomington, IL",92.1,96,85.2,91.5
=======
"Bloomington, IL",92.1,96.0,85.2,91.5
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Bloomington, IN",91.7,95.9,85.8,91.4
"Bloomsburg-Berwick, PA",92.6,98.7,71.7,99.9
"Boise City, ID",93.5,93.7,84.4,100.1
"Boston-Cambridge-Newton, MA-NH",114.2,102.8,142.1,110.3
"Boulder, CO",107.1,97.9,147.3,97.2
"Bowling Green, KY",84.5,91.8,63.1,91.8
"Bremerton-Silverdale-Port Orchard, WA",107.8,106.8,115.8,104.3
"Bridgeport-Stamford-Norwalk, CT",115.3,107.5,138.9,111.6
<<<<<<< HEAD
"Brownsville-Harlingen, TX",83,97.4,56.9,92.6
"Brunswick, GA",88,92.1,75.1,94.5
=======
"Brownsville-Harlingen, TX",83.0,97.4,56.9,92.6
"Brunswick, GA",88.0,92.1,75.1,94.5
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Buffalo-Cheektowaga, NY",94.8,98.7,79.2,99.9
"Burlington, NC",89.6,97.5,70.4,94.6
"Burlington-South Burlington, VT",105.7,98.7,124.2,102.6
"California-Lexington Park, MD",98.1,92.1,113.4,94.6
<<<<<<< HEAD
"Canton-Massillon, OH",86.4,96,62.1,91.5
=======
"Canton-Massillon, OH",86.4,96.0,62.1,91.5
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Cape Coral-Fort Myers, FL",97.8,97.5,103.6,94.6
"Cape Girardeau, MO-IL",83.9,93.4,64.9,90.4
"Carbondale-Marion, IL",83.4,94.3,61.9,89.7
"Carson City, NV",96.6,98.8,96.9,93.6
"Casper, WY",94.8,93.5,89.5,100.4
"Cedar Rapids, IA",88.5,95.1,70.1,92.1
"Chambersburg-Waynesboro, PA",94.6,98.7,78.8,99.9
"Champaign-Urbana, IL",92.2,95.9,87.1,91.4
"Charleston, WV",86.4,95.7,58.5,94.7
"Charleston-North Charleston, SC",96.8,97.5,99.2,94.6
<<<<<<< HEAD
"Charlotte-Concord-Gastonia, NC-SC",94.2,97.1,88,94.6
=======
"Charlotte-Concord-Gastonia, NC-SC",94.2,97.1,88.0,94.6
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Charlottesville, VA",99.1,97.3,112.7,94.6
"Chattanooga, TN-GA",88.8,97.2,70.9,91.8
"Cheyenne, WY",94.4,93.5,88.1,100.4
"Chicago-Naperville-Elgin, IL-IN-WI",103.2,99.5,113.2,101.8
<<<<<<< HEAD
"Chico, CA",99.7,96.3,102.7,102
"Cincinnati, OH-KY-IN",90,95.5,78.5,91.1
"Clarksville, TN-KY",89.1,97.1,74.5,91.8
"Cleveland, TN",84.9,92,67,91.6
"Cleveland-Elyria, OH",90.1,95.9,77,91.9
"Coeur d'Alene, ID",94.6,98.8,89.1,93.6
"College Station-Bryan, TX",93,96.9,88,92.6
"Colorado Springs, CO",99.2,93.7,108.5,100.2
"Columbia, MO",89.3,95.2,74.6,92.2
"Columbia, SC",91.8,97,79.2,94.6
"Columbus, GA-AL",88.9,97.1,70.3,94.7
"Columbus, IN",88.9,94.2,80,89.5
=======
"Chico, CA",99.7,96.3,102.7,102.0
"Cincinnati, OH-KY-IN",90.0,95.5,78.5,91.1
"Clarksville, TN-KY",89.1,97.1,74.5,91.8
"Cleveland, TN",84.9,92.0,67.0,91.6
"Cleveland-Elyria, OH",90.1,95.9,77.0,91.9
"Coeur d'Alene, ID",94.6,98.8,89.1,93.6
"College Station-Bryan, TX",93.0,96.9,88.0,92.6
"Colorado Springs, CO",99.2,93.7,108.5,100.2
"Columbia, MO",89.3,95.2,74.6,92.2
"Columbia, SC",91.8,97.0,79.2,94.6
"Columbus, GA-AL",88.9,97.1,70.3,94.7
"Columbus, IN",88.9,94.2,80.0,89.5
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Columbus, OH",91.9,95.9,84.7,91.4
"Corpus Christi, TX",93.2,97.4,87.6,92.6
"Corvallis, OR",102.2,101.5,112.5,95.8
"Crestview-Fort Walton Beach-Destin, FL",94.3,94.8,92.6,94.8
"Cumberland, MD-WV",86.1,97.5,60.5,94.6
"Dallas-Fort Worth-Arlington, TX",100.7,98.8,108.2,98.4
"Dalton, GA",84.3,92.1,62.6,94.5
"Danville, IL",78.6,94.2,52.1,89.5
"Daphne-Fairhope-Foley, AL",90.3,97.5,80.2,91.8
"Davenport-Moline-Rock Island, IA-IL",88.7,95.2,71.6,92.3
<<<<<<< HEAD
"Dayton-Kettering, OH",88.3,96,70.1,91.5
"Decatur, AL",83.5,97.5,52.2,91.8
"Decatur, IL",85.3,96,59.2,91.5
=======
"Dayton-Kettering, OH",88.3,96.0,70.1,91.5
"Decatur, AL",83.5,97.5,52.2,91.8
"Decatur, IL",85.3,96.0,59.2,91.5
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Deltona-Daytona Beach-Ormond Beach, FL",95.9,97.5,95.4,94.6
"Denver-Aurora-Lakewood, CO",104.9,98.9,136.8,96.1
"Des Moines-West Des Moines, IA",92.6,95.2,87.8,92.2
"Detroit-Warren-Dearborn, MI",95.5,98.6,85.8,97.7
"Dothan, AL",83.9,96.4,56.2,91.8
"Dover, DE",92.2,97.5,81.4,94.6
"Dubuque, IA",89.6,95.3,74.4,92.3
"Duluth, MN-WI",89.8,95.1,77.4,92.1
"Durham-Chapel Hill, NC",94.9,96.5,91.7,94.7
"East Stroudsburg, PA",97.1,98.7,90.5,99.9
<<<<<<< HEAD
"Eau Claire, WI",89.4,96,74.3,91.5
"El Centro, CA",89.8,101.5,69,95.8
"Elizabethtown-Fort Knox, KY",85.8,92,71.3,91.6
"Elkhart-Goshen, IN",88.8,96,71.3,91.5
=======
"Eau Claire, WI",89.4,96.0,74.3,91.5
"El Centro, CA",89.8,101.5,69.0,95.8
"Elizabethtown-Fort Knox, KY",85.8,92.0,71.3,91.6
"Elkhart-Goshen, IN",88.8,96.0,71.3,91.5
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Elmira, NY",95.5,98.7,83.1,99.9
"El Paso, TX",88.6,97.4,73.8,92.6
"Enid, OK",89.7,97.4,73.5,92.6
"Erie, PA",92.3,98.7,71.3,99.9
<<<<<<< HEAD
"Eugene-Springfield, OR",98.5,96.3,97.7,102
"Evansville, IN-KY",88.1,96,68.1,91.5
=======
"Eugene-Springfield, OR",98.5,96.3,97.7,102.0
"Evansville, IN-KY",88.1,96.0,68.1,91.5
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Fairbanks, AK",106.6,100.8,141.8,95.1
"Fargo, ND-MN",91.4,95.3,82.6,92.3
"Farmington, NM",91.1,98.8,74.9,93.6
"Fayetteville, NC",88.7,96.1,73.4,94.7
"Fayetteville-Springdale-Rogers, AR",88.8,97.3,69.5,92.6
"Flagstaff, AZ",98.5,98.8,104.8,93.6
"Flint, MI",89.7,98.4,66.6,96.8
<<<<<<< HEAD
"Florence, SC",86.9,96.3,62,94.7
"Florence-Muscle Shoals, AL",82.3,97.5,48.8,91.8
"Fond du Lac, WI",87.1,94.2,72.9,89.5
"Fort Collins, CO",102,93.5,123.3,100.4
"Fort Smith, AR-OK",83.5,97.2,55,92.6
"Fort Wayne, IN",88.8,96,70.7,91.5
"Fresno, CA",96.5,96.3,89.4,102
=======
"Florence, SC",86.9,96.3,62.0,94.7
"Florence-Muscle Shoals, AL",82.3,97.5,48.8,91.8
"Fond du Lac, WI",87.1,94.2,72.9,89.5
"Fort Collins, CO",102.0,93.5,123.3,100.4
"Fort Smith, AR-OK",83.5,97.2,55.0,92.6
"Fort Wayne, IN",88.8,96.0,70.7,91.5
"Fresno, CA",96.5,96.3,89.4,102.0
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Gadsden, AL",82.3,97.5,49.8,91.8
"Gainesville, FL",94.2,96.1,90.3,94.7
"Gainesville, GA",90.3,92.1,82.2,94.5
"Gettysburg, PA",96.1,98.7,85.7,99.9
"Glens Falls, NY",97.1,98.7,89.4,99.9
"Goldsboro, NC",87.1,97.5,62.7,94.6
"Grand Forks, ND-MN",90.9,95.3,81.4,92.3
"Grand Island, NE",84.3,93.4,63.3,90.4
"Grand Junction, CO",93.3,98.8,85.1,93.6
"Grand Rapids-Kentwood, MI",92.2,95.8,86.2,91.4
"Grants Pass, OR",93.1,101.5,79.1,95.8
<<<<<<< HEAD
"Great Falls, MT",92.4,93.5,80,100.4
=======
"Great Falls, MT",92.4,93.5,80.0,100.4
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Greeley, CO",97.6,97.9,97.8,97.2
"Green Bay, WI",89.8,95.8,76.1,91.3
"Greensboro-High Point, NC",89.8,97.1,71.1,94.6
"Greenville, NC",87.1,97.5,65.1,94.6
"Greenville-Anderson, SC",90.4,97.3,73.2,94.6
"Gulfport-Biloxi, MS",87.7,97.3,69.8,91.8
<<<<<<< HEAD
"Hagerstown-Martinsburg, MD-WV",98,101.2,80.5,107.9
"Hammond, LA",85.8,92,71.3,92.2
"Hanford-Corcoran, CA",95.3,101.5,85,95.8
"Harrisburg-Carlisle, PA",96.6,98.7,87.4,99.9
"Harrisonburg, VA",90.3,92.1,83,94.6
"Hartford-East Hartford-Middletown, CT",102.1,98.9,107.1,102.8
"Hattiesburg, MS",84,91.9,64.6,91.7
"Hickory-Lenoir-Morganton, NC",87.6,97.5,61.7,94.6
"Hilton Head Island-Bluffton, SC",95,92.1,99.8,94.6
"Hinesville, GA",91.3,92.1,87.4,94.6
"Homosassa Springs, FL",88.4,92.1,78.5,94.6
"Hot Springs, AR",85.5,92,70.9,92.2
=======
"Hagerstown-Martinsburg, MD-WV",98.0,101.2,80.5,107.9
"Hammond, LA",85.8,92.0,71.3,92.2
"Hanford-Corcoran, CA",95.3,101.5,85.0,95.8
"Harrisburg-Carlisle, PA",96.6,98.7,87.4,99.9
"Harrisonburg, VA",90.3,92.1,83.0,94.6
"Hartford-East Hartford-Middletown, CT",102.1,98.9,107.1,102.8
"Hattiesburg, MS",84.0,91.9,64.6,91.7
"Hickory-Lenoir-Morganton, NC",87.6,97.5,61.7,94.6
"Hilton Head Island-Bluffton, SC",95.0,92.1,99.8,94.6
"Hinesville, GA",91.3,92.1,87.4,94.6
"Homosassa Springs, FL",88.4,92.1,78.5,94.6
"Hot Springs, AR",85.5,92.0,70.9,92.2
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Houma-Thibodaux, LA",89.2,97.4,72.4,92.6
"Houston-The Woodlands-Sugar Land, TX",101.8,95.5,104.5,107.2
"Huntington-Ashland, WV-KY-OH",85.7,96.8,56.9,94.5
"Huntsville, AL",89.2,97.5,69.2,91.8
"Idaho Falls, ID",91.3,98.8,75.8,93.6
<<<<<<< HEAD
"Indianapolis-Carmel-Anderson, IN",91.6,96,83.5,91.5
"Iowa City, IA",93.7,95.1,93.4,92.2
"Ithaca, NY",105.9,98.7,132.1,99.9
"Jackson, MI",88,96,68.8,91.5
"Jackson, MS",89.2,96.9,72.8,91.8
"Jackson, TN",81,91.9,56.1,91.7
"Jacksonville, FL",95.5,97.5,93.5,94.6
"Jacksonville, NC",92.1,97.5,82.7,94.6
"Janesville-Beloit, WI",89.9,96,76.3,91.5
"Jefferson City, MO",81.7,93.4,55.3,90.4
"Johnson City, TN",86,97.5,61.3,91.8
"Johnstown, PA",86.3,98.7,51.2,100
"Jonesboro, AR",83.3,92,64,92.2
"Joplin, MO",85.1,95.3,58.5,92.3
"Kahului-Wailuku-Lahaina, HI",109.5,102.9,138.3,96.6
"Kalamazoo-Portage, MI",90.4,96,78.7,91.5
"Kankakee, IL",93.5,98.4,76.6,100.3
"Kansas City, MO-KS",92.9,95.8,82.6,95.6
"Kennewick-Richland, WA",97.3,96.3,92.3,102
=======
"Indianapolis-Carmel-Anderson, IN",91.6,96.0,83.5,91.5
"Iowa City, IA",93.7,95.1,93.4,92.2
"Ithaca, NY",105.9,98.7,132.1,99.9
"Jackson, MI",88.0,96.0,68.8,91.5
"Jackson, MS",89.2,96.9,72.8,91.8
"Jackson, TN",81.0,91.9,56.1,91.7
"Jacksonville, FL",95.5,97.5,93.5,94.6
"Jacksonville, NC",92.1,97.5,82.7,94.6
"Janesville-Beloit, WI",89.9,96.0,76.3,91.5
"Jefferson City, MO",81.7,93.4,55.3,90.4
"Johnson City, TN",86.0,97.5,61.3,91.8
"Johnstown, PA",86.3,98.7,51.2,100.0
"Jonesboro, AR",83.3,92.0,64.0,92.2
"Joplin, MO",85.1,95.3,58.5,92.3
"Kahului-Wailuku-Lahaina, HI",109.5,102.9,138.3,96.6
"Kalamazoo-Portage, MI",90.4,96.0,78.7,91.5
"Kankakee, IL",93.5,98.4,76.6,100.3
"Kansas City, MO-KS",92.9,95.8,82.6,95.6
"Kennewick-Richland, WA",97.3,96.3,92.3,102.0
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Killeen-Temple, TX",90.1,97.2,77.5,92.6
"Kingsport-Bristol, TN-VA",84.9,97.5,56.7,92.4
"Kingston, NY",103.3,98.7,118.7,99.9
"Knoxville, TN",88.7,96.9,70.1,91.8
<<<<<<< HEAD
"Kokomo, IN",85.9,96,61.2,91.5
"La Crosse-Onalaska, WI-MN",91.4,96,82.7,91.5
"Lafayette, LA",86.6,96.4,65.3,92.6
"Lafayette-West Lafayette, IN",89.9,95.7,77.8,91.3
"Lake Charles, LA",88.9,97.3,71.2,92.6
"Lake Havasu City-Kingman, AZ",90,93.5,73.4,100.4
"Lakeland-Winter Haven, FL",93.2,97.5,85,94.6
=======
"Kokomo, IN",85.9,96.0,61.2,91.5
"La Crosse-Onalaska, WI-MN",91.4,96.0,82.7,91.5
"Lafayette, LA",86.6,96.4,65.3,92.6
"Lafayette-West Lafayette, IN",89.9,95.7,77.8,91.3
"Lake Charles, LA",88.9,97.3,71.2,92.6
"Lake Havasu City-Kingman, AZ",90.0,93.5,73.4,100.4
"Lakeland-Winter Haven, FL",93.2,97.5,85.0,94.6
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Lancaster, PA",98.9,98.7,97.7,99.9
"Lansing-East Lansing, MI",91.2,95.9,82.2,91.4
"Laredo, TX",87.4,97.4,68.6,92.6
"Las Cruces, NM",87.3,93.5,65.9,100.4
<<<<<<< HEAD
"Las Vegas-Henderson-Paradise, NV",96.8,93.5,98,100.4
"Lawrence, KS",91.9,95.3,85.2,92.3
"Lawton, OK",88.7,96.8,71.6,92.6
"Lebanon, PA",96,98.7,84.8,99.9
"Lewiston, ID-WA",90.5,98.8,73.2,93.6
"Lewiston-Auburn, ME",95.5,98.7,80.9,102.6
"Lexington-Fayette, KY",90.6,97.5,76.1,91.8
"Lima, OH",84.2,96,56.1,91.5
=======
"Las Vegas-Henderson-Paradise, NV",96.8,93.5,98.0,100.4
"Lawrence, KS",91.9,95.3,85.2,92.3
"Lawton, OK",88.7,96.8,71.6,92.6
"Lebanon, PA",96.0,98.7,84.8,99.9
"Lewiston, ID-WA",90.5,98.8,73.2,93.6
"Lewiston-Auburn, ME",95.5,98.7,80.9,102.6
"Lexington-Fayette, KY",90.6,97.5,76.1,91.8
"Lima, OH",84.2,96.0,56.1,91.5
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Lincoln, NE",91.1,95.2,81.3,92.3
"Little Rock-North Little Rock-Conway, AR",89.2,97.3,71.8,92.6
"Logan, UT-ID",91.3,98.8,76.9,93.6
"Longview, TX",89.8,96.7,75.1,92.6
